"Region" "private_doctor" "private_midwife" "family_planning_field_worker" "village_official" "religious_leader" "PKK" "pharmacist" "teacher" "television" "radio" "number_of_women"
"1" "DKI Jakarta" "92.3" "97.1" "97.0" "70.4" "69.3" "91.9" "66.2" "60.5" "95.5" "96.9" "1086"
"2" "West Java" "68.1" "79.1" "77.9" "60.3" "46.0" "67.9" "40.2" "43.4" "66.1" "70.5" "4701"
"3" "Central Java" "82.8" "86.0" "89.6" "85.3" "72.2" "87.3" "72.6" "71.2" "83.7" "83.9" "3708"
"4" "DI Yogyakarta" "89.8" "94.3" "97.0" "80.6" "68.5" "93.2" "59.2" "65.1" "89.9" "89.9" "328"
"5" "East Java" "78.1" "84.2" "81.6" "67.3" "54.3" "68.7" "54.1" "49.0" "71.2" "70.4" "4500"
"6" "Bali" "88.3" "90.4" "79.3" "57.0" "22.5" "53.7" "27.3" "26.6" "61.8" "57.2" "314"
"7" "DI Aceh" "82.8" "86.8" "78.6" "47.8" "35.1" "56.5" "34.1" "34.0" "61.6" "61.5" "5709"
"8" "North Sumatra" "85.5" "87.6" "84.7" "37.6" "28.6" "55.8" "41.2" "27.5" "60.8" "57.4" "349"
"9" "West Sumatra" "88.0" "89.6" "74.2" "45.6" "34.5" "50.9" "38.5" "32.1" "56.6" "56.3" "1112"
"10" "South Sumatra" "85.5" "91.6" "84.6" "46.9" "31.2" "66.7" "30.9" "37.6" "71.4" "73.3" "475"
"11" "Lampung" "79.7" "88.3" "78.2" "38.2" "29.0" "58.1" "38.2" "29.0" "63.4" "61.8" "848"
"12" "West Nusa Tenggara" "90.4" "97.1" "94.5" "66.7" "48.9" "76.4" "52.9" "63.3" "92.1" "92.9" "698"
"13" "West Kalimantan" "70.6" "73.9" "69.6" "62.1" "44.2" "55.9" "29.2" "31.7" "49.5" "46.9" "412"
"14" "South Kalimantan" "73.4" "79.3" "75.7" "58.0" "53.2" "63.9" "43.9" "52.3" "76.4" "75.0" "399"
"15" "South Kalimantan" "83.9" "90.2" "82.8" "57.8" "53.1" "59.3" "22.0" "24.2" "66.7" "77.8" "377"
"16" "North Sulawesi" "73.5" "72.0" "76.0" "55.9" "35.1" "74.6" "31.7" "36.1" "54.6" "54.3" "254"
"17" "South Sulawesi" "83.0" "82.8" "69.9" "29.2" "13.3" "28.7" "9.7" "13.0" "32.4" "30.9" "786"
"18" "Riau" "87.7" "90.3" "75.0" "46.5" "36.3" "62.3" "40.3" "36.2" "68.8" "70.0" "459"
"19" "Jambi" "97.6" "99.1" "96.2" "73.3" "61.3" "81.2" "62.1" "57.3" "87.0" "86.5" "282"
"20" "Bengkulu" "82.9" "89.4" "86.5" "37.1" "23.0" "56.7" "32.6" "36.8" "79.5" "79.0" "139"
"21" "East Nusa Tenggara" "58.6" "73.6" "69.2" "23.8" "7.0" "29.5" "8.0" "10.0" "15.0" "21.3" "400"
"22" "East Timor" "52.7" "40.3" "33.8" "32.3" "55.3" "37.1" "7.9" "8.2" "25.0" "33.4" "96"
"23" "Central Kalimantan" "65.0" "76.2" "77.6" "35.5" "44.0" "46.7" "12.0" "13.9" "60.7" "59.9" "184"
"24" "East Kalimantan" "89.7" "95.2" "95.0" "54.2" "63.4" "73.7" "43.5" "49.3" "91.7" "91.7" "237"
"25" "Central Sulawesi" "58.2" "60.3" "85.5" "51.7" "24.0" "69.1" "17.9" "28.8" "65.3" "58.0" "204"
"26" "Southeast Sulawesi" "78.5" "79.3" "79.9" "31.5" "26.6" "58.7" "21.7" "25.3" "68.2" "79.7" "131"
"27" "Maluku" "82.6" "89.8" "86.5" "20.4" "13.6" "54.0" "8.1" "5.1" "51.5" "44.5" "222"
"28" "Irian Jaya" "33.5" "38.3" "48.7" "26.0" "3.8" "19.1" "5.3" "11.8" "22.9" "22.1" "209"
